Id;FirstName;LastName;TeamName;TeamCode;TeamUri;Nationality;CountryCode;DateOfBirth;Status;PhotoUri;GeneralClassification;SprintClassification;MountainClassification;GeneralClassificationRank;YouthClassificationRank;SprintClassificationRank;MountainClassificationRank;CombativityClassificationRank;CombinedClassificationRank;IsWithdrawn;WithdrawalStageId;StageId;WithdrawalReason;YoungClassification
19;Alexis;VUILLERMOZ;AG2R LA MONDIALE;ALM;http://fep-api.dimensiondata.com/v2/teams/962;France;FRA;1988-01-06T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3709/photo;13, 00:24:38, 84:19:54;79, 15;12, 28;13;0;79;12;0;0;FALSE;0;0;NA;NA
21;Nairo Alexander;QUINTANA ROJAS;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Colombia;COL;1990-02-04T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3710/photo;12, 00:15:28, 84:10:44;34, 48;31, 8;12;0;34;31;0;0;FALSE;0;0;NA;NA
22;Andrey;AMADOR;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Costa Rica;CRC;1986-08-29T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3711/photo;89, 02:56:43, 86:51:59;NA;NA;89;0;0;0;0;0;FALSE;0;0;NA;NA
23;Daniele;BENNATI;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Italy;ITA;1980-09-24T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3712/photo;104, 03:13:44, 87:09:00;49, 27;NA;104;0;49;0;0;0;FALSE;0;0;NA;NA
24;Carlos Alberto;BETANCUR;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Colombia;COL;1989-10-13T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3713/photo;18, 00:37:47, 84:33:03;71, 17;53, 1;18;0;71;53;0;0;FALSE;0;0;NA;NA
25;Jonathan;CASTROVIEJO NICOLAS;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Spain;ESP;1987-04-27T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3714/photo;59, 02:21:28, 86:16:44;127, 1;NA;59;0;127;0;0;0;FALSE;0;0;NA;NA
26;Imanol;ERVITI;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Spain;ESP;1983-11-15T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3715/photo;92, 03:00:21, 86:55:37;115, 5;62, 1;92;0;115;62;0;0;FALSE;0;0;NA;NA
27;Jesus;HERRADA LOPEZ;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Spain;ESP;1990-07-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3716/photo;95, 03:04:49, 87:00:05;107, 6;48, 2;95;0;107;48;0;0;FALSE;0;0;NA;NA
28;Jasha;SÜTTERLIN;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Germany;GER;1992-11-04T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3717/photo;108, 03:17:53, 87:13:09;108, 6;NA;108;18;108;0;0;0;FALSE;0;0;NA;18, 03:11:39, 87:13:09
29;Alejandro;VALVERDE;MOVISTAR TEAM;MOV;http://fep-api.dimensiondata.com/v2/teams/978;Spain;ESP;1980-04-25T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3718/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;194;0;AB;NA
31;Alberto;CONTADOR;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Spain;ESP;1982-12-06T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3719/photo;9, 00:08:49, 84:04:05;29, 52;9, 36;9;0;29;9;0;0;FALSE;0;0;NA;NA
32;Koen;DE KORT;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Netherlands;NED;1982-09-08T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3720/photo;71, 02:38:33, 86:33:49;96, 10;45, 2;71;0;96;45;0;0;FALSE;0;0;NA;NA
33;John;DEGENKOLB;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Germany;GER;1989-01-07T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3721/photo;121, 03:32:59, 87:28:15;17, 79;NA;121;0;17;0;0;0;FALSE;0;0;NA;NA
34;Fabio;FELLINE;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Italy;ITA;1990-03-29T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3722/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;207;0;AB;NA
35;Michael;GOGL ;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Austria;AUT;1993-11-04T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3723/photo;146, 03:59:06, 87:54:22;98, 10;NA;146;24;98;0;0;0;FALSE;0;0;NA;24, 03:52:52, 87:54:22
36;Markel;IRIZAR ARRANBURU;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Spain;ESP;1980-02-05T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3724/photo;135, 03:47:10, 87:42:26;NA;NA;135;0;0;0;0;0;FALSE;0;0;NA;NA
37;Bauke;MOLLEMA;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Netherlands;NED;1986-11-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3725/photo;17, 00:37:43, 84:32:59;23, 57;8, 37;17;0;23;8;0;0;FALSE;0;0;NA;NA
38;Jarlinson;PANTANO;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Colombia;COL;1988-11-19T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3726/photo;46, 02:01:30, 85:56:46;106, 6;34, 6;46;0;106;34;0;0;FALSE;0;0;NA;NA
39;Haimar;ZUBELDIA;TREK - SEGAFREDO;TFS;http://fep-api.dimensiondata.com/v2/teams/979;Spain;ESP;1977-01-04T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3727/photo;52, 02:06:30, 86:01:46;NA;NA;52;0;0;0;0;0;FALSE;0;0;NA;NA
41;Richie;PORTE;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Australia;AUS;1985-01-30T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3728/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;202;0;AB;NA
42;Damiano;CARUSO;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Italy;ITA;1987-10-12T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3729/photo;11, 00:14:48, 84:10:04;93, 10;30, 8;11;0;93;30;0;0;FALSE;0;0;NA;NA
43;Alessandro;DE MARCHI;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Italy;ITA;1986-05-19T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3730/photo;97, 03:05:25, 87:00:41;53, 26;25, 10;97;0;53;25;0;0;FALSE;0;0;NA;NA
44;Stefan;KUENG;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Switzerland;SUI;1993-11-16T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3731/photo;79, 02:49:17, 86:44:33;42, 36;NA;79;11;42;0;0;0;FALSE;0;0;NA;11, 02:43:03, 86:44:33
45;Amaël;MOINARD;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;France;FRA;1982-02-02T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3732/photo;32, 01:32:02, 85:27:18;117, 4;NA;32;0;117;0;0;0;FALSE;0;0;NA;NA
46;Nicolas;ROCHE;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Ireland;IRL;1984-03-07T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3733/photo;33, 01:32:35, 85:27:51;33, 50;35, 4;33;0;33;35;0;0;FALSE;0;0;NA;NA
47;Michael;SCHÄR;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Switzerland;SUI;1986-09-29T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3734/photo;73, 02:41:03, 86:36:19;NA;NA;73;0;0;0;0;0;FALSE;0;0;NA;NA
48;Greg;VAN AVERMAET;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Belgium;BEL;1985-05-17T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3735/photo;58, 02:19:14, 86:14:30;20, 63;59, 1;58;0;20;59;0;0;FALSE;0;0;NA;NA
49;Danilo;WYSS;BMC RACING TEAM;BMC;http://fep-api.dimensiondata.com/v2/teams/923;Switzerland;SUI;1985-08-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3736/photo;82, 02:53:51, 86:49:07;85, 14;NA;82;0;85;0;0;0;FALSE;0;0;NA;NA
51;Fabio;ARU;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Italy;ITA;1990-07-03T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3737/photo;5, 00:03:05, 83:58:21;15, 87;15, 22;5;0;15;15;0;0;FALSE;0;0;NA;NA
52;Dario;CATALDO;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Italy;ITA;1985-03-17T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3738/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;204;0;AB;NA
53;Jakob;FUGLSANG;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Denmark;DEN;1985-03-22T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3739/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;206;0;AB;NA
54;Andriy;GRIVKO;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Ukraine;UKR;1983-07-08T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3740/photo;120, 03:32:14, 87:27:30;110, 6;NA;120;0;110;0;0;0;FALSE;0;0;NA;NA
55;Dmitriy;GRUZDEV;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Kazakhstan;KAZ;1986-03-13T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3741/photo;115, 03:24:42, 87:19:58;NA;NA;115;0;0;0;0;0;FALSE;0;0;NA;NA
56;Bakhtiyar;KOZHATAYEV;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Kazakhstan;KAZ;1992-03-28T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3742/photo;94, 03:04:11, 86:59:27;NA;NA;94;16;0;0;0;0;FALSE;0;0;NA;16, 02:57:57, 86:59:27
57;Alexey;LUTSENKO;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Kazakhstan;KAZ;1992-09-07T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3743/photo;70, 02:37:39, 86:32:55;NA;23, 11;70;9;0;23;0;0;FALSE;0;0;NA;9, 02:31:25, 86:32:55
58;ANDERSEN Michael;VALGREN;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Denmark;DEN;1992-02-07T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3744/photo;62, 02:25:36, 86:20:52;87, 13;NA;62;8;87;0;0;0;FALSE;0;0;NA;8, 02:19:22, 86:20:52
59;Andrey;ZEITS;ASTANA PRO TEAM;AST;http://fep-api.dimensiondata.com/v2/teams/980;Kazakhstan;KAZ;1986-12-14T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3745/photo;44, 01:59:09, 85:54:25;NA;NA;44;0;0;0;0;0;FALSE;0;0;NA;NA
61;Louis;MEINTJES;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;South Africa;RSA;1992-02-21T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3746/photo;8, 00:08:20, 84:03:36;35, 44;29, 8;8;2;35;29;0;0;FALSE;0;0;NA;2, 00:02:06, 84:03:36
62;Darwin;ATAPUMA;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;Colombia;COL;0001-01-01T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3747/photo;41, 01:49:40, 85:44:56;41, 36;4, 55;41;0;41;4;0;0;FALSE;0;0;NA;NA
63;Matteo;BONO;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;Italy;ITA;1983-11-11T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3748/photo;110, 03:19:21, 87:14:37;NA;NA;110;0;0;0;0;0;FALSE;0;0;NA;NA
64;Kristijan;DURASEK;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;Croatia;CRO;1987-07-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3749/photo;51, 02:04:53, 86:00:09;NA;NA;51;0;0;0;0;0;FALSE;0;0;NA;NA
65;Vegard Stake;LAENGEN;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;Norway;NOR;1989-02-07T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3750/photo;127, 03:41:52, 87:37:08;76, 17;NA;127;0;76;0;0;0;FALSE;0;0;NA;NA
66;Marco;MARCATO;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;Italy;ITA;1984-02-11T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3751/photo;98, 03:05:53, 87:01:09;55, 25;NA;98;0;55;0;0;0;FALSE;0;0;NA;NA
67;Manuele;MORI;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;Italy;ITA;1980-08-09T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3752/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;202;0;AB;NA
68;Ben;SWIFT;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;United Kingdom;GBR;1987-11-05T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3753/photo;83, 02:54:48, 86:50:04;19, 70;NA;83;0;19;0;0;0;FALSE;0;0;NA;NA
69;Diego;ULISSI;UAE TEAM EMIRATES;UAD;http://fep-api.dimensiondata.com/v2/teams/925;Italy;ITA;1989-07-15T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3754/photo;39, 01:45:23, 85:40:39;40, 38;36, 4;39;0;40;36;0;0;FALSE;0;0;NA;NA
71;Arnaud;DEMARE;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;France;FRA;1991-08-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3755/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;202;0;HD;NA
72;Davide;CIMOLAI;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;Italy;ITA;1989-08-13T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3756/photo;152, 04:06:15, 88:01:31;78, 17;NA;152;0;78;0;0;0;FALSE;0;0;NA;NA
73;Mickaël;DELAGE;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;France;FRA;1985-06-08T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3757/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;202;0;HD;NA
74;Jacopo;GUARNIERI;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;Italy;ITA;1987-08-14T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3758/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;202;0;HD;NA
75;Ignatas;KONOVALOVAS;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;Lithuania;LTU;1985-12-08T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3759/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;202;0;HD;NA
76;Olivier;LE GAC;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;France;FRA;1993-08-27T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3760/photo;160, 04:17:21, 88:12:37;NA;NA;160;27;0;0;0;0;FALSE;0;0;NA;27, 04:11:07, 88:12:37
77;Rudy;MOLARD;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;France;FRA;1989-09-17T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3761/photo;36, 01:35:55, 85:31:11;105, 6;NA;36;0;105;0;0;0;FALSE;0;0;NA;NA
78;Thibaut;PINOT;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;France;FRA;1990-05-29T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3762/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;210;0;AB;NA
79;Arthur;VICHOT;FDJ;FDJ;http://fep-api.dimensiondata.com/v2/teams/7;France;FRA;1988-11-26T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3763/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;206;0;AB;NA
81;Johan Esteban;CHAVES;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;Colombia;COL;0001-01-01T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3764/photo;63, 02:27:34, 86:22:50;95, 10;NA;63;0;95;0;0;0;FALSE;0;0;NA;NA
82;Michael;ALBASINI;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;Switzerland;SUI;1980-12-20T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3765/photo;99, 03:06:55, 87:02:11;75, 17;NA;99;0;75;0;0;0;FALSE;0;0;NA;NA
83;Luke;DURBRIDGE;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;Australia;AUS;1991-04-09T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3766/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;195;0;AB;NA
84;Mathew;HAYMAN;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;Australia;AUS;1978-04-20T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3767/photo;151, 04:04:13, 87:59:29;NA;NA;151;0;0;0;0;0;FALSE;0;0;NA;NA
85;Damien;HOWSON;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;Australia;AUS;1992-08-13T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3768/photo;90, 02:56:57, 86:52:13;91, 11;NA;90;13;91;0;0;0;FALSE;0;0;NA;13, 02:50:43, 86:52:13
86;Daryl;IMPEY;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;South Africa;RSA;1984-12-06T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3769/photo;47, 02:01:59, 85:57:15;86, 13;44, 2;47;0;86;44;0;0;FALSE;0;0;NA;NA
87;Jens;KEUKELEIRE;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;Belgium;BEL;1988-11-23T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3770/photo;60, 02:22:26, 86:17:42;32, 51;NA;60;0;32;0;0;0;FALSE;0;0;NA;NA
88;Roman;KREUZIGER;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;Czech Republic;CZE;1986-05-06T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3771/photo;24, 00:59:58, 84:55:14;72, 17;NA;24;0;72;0;0;0;FALSE;0;0;NA;NA
89;Simon;YATES;ORICA - SCOTT;ORS;http://fep-api.dimensiondata.com/v2/teams/981;United Kingdom;GBR;1992-07-08T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3772/photo;7, 00:06:14, 84:01:30;22, 61;52, 1;7;1;22;52;0;0;FALSE;0;0;NA;1, 00:00:00, 84:01:30
91;Mark;Cavendish;TEAM DIMENSION DATA;DDD;http://fep-api.dimensiondata.com/v2/teams/982;United Kingdom;GBR;1985-05-21T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3773/photo;NA;NA;NA;0;0;0;0;0;0;TRUE;198;0;NP;NA
92;Edvald;BOASSON HAGEN;TEAM DIMENSION DATA;DDD;http://fep-api.dimensiondata.com/v2/teams/982;Norway;NOR;1987-05-17T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3774/photo;78, 02:48:16, 86:43:32;3, 200;NA;78;0;3;0;0;0;FALSE;0;0;NA;NA
93;Stephen;CUMMINGS;TEAM DIMENSION DATA;DDD;http://fep-api.dimensiondata.com/v2/teams/982;United Kingdom;GBR;1981-03-19T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3775/photo;137, 03:48:18, 87:43:34;99, 9;17, 20;137;0;99;17;0;0;FALSE;0;0;NA;NA
94;Bernhard;EISEL;TEAM DIMENSION DATA;DDD;http://fep-api.dimensiondata.com/v2/teams/982;Austria;AUT;1981-02-17T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3776/photo;153, 04:09:02, 88:04:18;NA;NA;153;0;0;0;0;0;FALSE;0;0;NA;NA
95;Reinardt;JANSE VAN RENSBURG;TEAM DIMENSION DATA;DDD;http://fep-api.dimensiondata.com/v2/teams/982;South Africa;RSA;1989-02-03T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3777/photo;118, 03:30:54, 87:26:10;109, 6;NA;118;0;109;0;0;0;FALSE;0;0;NA;NA
96;Serge;PAUWELS;TEAM DIMENSION DATA;DDD;http://fep-api.dimensiondata.com/v2/teams/982;Belgium;BEL;1983-11-21T00:00:00;83;http://fep-api.dimensiondata.com/v2/rider/3778/photo;19, 00:39:36, 84:34:52;65, 20;10, 32;19;0;65;10;0;0;FALSE;0;0;NA;NA
